,,,,,,,,,,,,,,,,,Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status
7007,ARK,120,,,0.235,,-,-,0.3,0.22,0,,-,5935,43%,-0.002,3.26,7.21,Active,,,,,,,,,,,,,,,,,
7218,ARKA,164,,,0.68,,-,-,1.88,0.62,0,,-,8520,53%,-0.055,-11.01,,Active,,,,,,,,,,,,,,,,,
5210,ARMADA,161,0.325,0.32,0.325,-0.005,0.33,0.32,0.695,0.32,89599,3.13%,37,14071960,50%,-0.005,10.7,2.89,Active,,,,,,,,,,,,,,,,,
52101B,ARMADA-C1B,361,,,0.005,,-,-,0.04,0.005,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101D,ARMADA-C1D,361,,,0.01,,-,-,0.065,0.01,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101E,ARMADA-C1E,361,,,0.015,,-,-,0.04,0.015,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101F,ARMADA-C1F,361,,,0.01,,-,-,0.025,0.005,0,,-,-,40%,,,,Active,,,,,,,,,,,,,,,,,
52101G,ARMADA-C1G,361,,,0.01,,-,-,0.025,0.01,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101H,ARMADA-C1H,361,,,0.01,,-,-,0.015,0.01,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101I,ARMADA-C1I,361,,,0.02,,-,-,0.03,0.02,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101J,ARMADA-C1J,361,,,0.025,,-,-,0.03,0.025,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
52101K,ARMADA-C1K,361,,,0.15,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5127,ARREIT,150,0.35,0.345,0.355,-0.01,0.35,0.345,0.425,0.335,300,,71,61390,33%,-0.003,0.87,68.1,Active,,,,,,,,,,,,,,,,,
0038,ARTRONIQ,402,0.1,0.095,0.095,-,0.1,0.095,0.105,0.055,16401,,56,1190320,56%,0.002,-1.37,,Active,,,,,,,,,,,,,,,,,
0038WA,ARTRONIQ-WA,402,0.01,0.01,0.005,+0.005,0.01,0.01,0.03,0.005,5006,,100,288810,50%,,,,Active,,,,,,,,,,,,,,,,,
1481,ASB,101,0.08,0.085,0.085,-,0.085,0.08,0.1,0.06,13078,0.59%,-,5368645,100%,0.001,-2.32,,Active,,,,,,,,,,,,,,,,,
0068,ASDION,405,0.02,0.025,0.02,+0.005,0.025,0.02,0.035,0.015,782,,-,425055,25%,-0.001,0.75,2.59,"Active, Alert",,,,,,,,,,,,,,,,,
7722,ASIABRN,101,,,0.48,,-,-,0.58,0.47,0,4.17%,-,25550,42%,-0.005,1.29,37.27,Active,,,,,,,,,,,,,,,,,
7129,ASIAFLE,101,1.48,1.48,1.48,-,1.48,1.48,1.9,1.3,163,1.35%,69,199570,69%,0.029,-22.53,,Active,,,,,,,,,,,,,,,,,
4057,ASIAPAC,120,0.125,0.125,0.125,-,0.125,0.12,0.135,0.08,325,,8,4008705,60%,0.004,8.27,1.54,Active,,,,,,,,,,,,,,,,,
0105,ASIAPLY,402,0.19,0.19,0.195,-0.005,0.195,0.19,0.205,0.06,12456,,-,3337110,44%,0.001,-1.05,,Active,,,,,,,,,,,,,,,,,
0362,ASM,402,0.155,0.16,0.165,-0.005,0.16,0.155,0.205,0.155,1880,,6,658685,50%,-0.001,1.3,16.23,Active,,,,,,,,,,,,,,,,,
7020,ASTEEL,102,0.07,0.07,0.07,-,0.07,0.07,0.09,0.06,1,,-,310490,55%,0.001,-0.47,,Active,,,,,,,,,,,,,,,,,
7162,ASTINO,102,0.525,0.525,0.515,+0.010,0.525,0.525,0.63,0.49,50,,100,34545,42%,-0.001,7.24,7.53,Active,,,,,,,,,,,,,,,,,
03032,ASTRA,701,,,0.5,,-,-,0.5,0.5,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
6399,ASTRO,163,0.125,0.12,0.125,-0.005,0.125,0.12,0.25,0.12,31176,,76,9332835,29%,-0.002,2.47,4.92,Active,,,,,,,,,,,,,,,,,
5302,ATECH,102,1.03,1.03,1.03,-,1.05,1.03,3.63,0.98,1979,8.45%,27,1434935,50%,-0.015,14.7,21.95,Active,,,,,,,,,,,,,,,,,
5302CM,ATECH-CM,302,,,0.15,,-,-,0.15,0.15,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5302CN,ATECH-CN,302,,,0.03,,-,-,0.065,0.03,0,,-,308055,33%,-0.002,,,Active,,,,,,,,,,,,,,,,,
5302CO,ATECH-CO,302,,,0.025,,-,-,0.045,0.025,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5302CP,ATECH-CP,302,,,0.04,,-,-,0.065,0.03,0,,-,423575,33%,,,,Active,,,,,,,,,,,,,,,,,
5302WA,ATECH-WA,102,0.225,0.215,0.215,-,0.225,0.215,0.415,0.185,536,,44,1983805,15%,-0.009,,,Active,,,,,,,,,,,,,,,,,
7048,ATLAN,101,,,2.45,,-,-,2.74,2.33,0,5.20%,-,3545,50%,-0.004,20,9.36,Active,,,,,,,,,,,,,,,,,
5130,ATRIUM,150,1.4,1.4,1.4,-,1.41,1.4,1.41,1.2,1640,6.09%,33,286780,81%,0.01,17.55,7.98,Active,,,,,,,,,,,,,,,,,
0098,AUMAS,402,0.715,0.805,0.71,+0.095,0.805,0.715,0.97,0.51,199130,,60,7472165,20%,-0.008,2.49,45.09,Active,,,,,,,,,,,,,,,,,
5025,AURO,102,0.14,0.14,0.14,-,0.14,0.135,0.185,0.125,2340,,6,304495,43%,-0.002,-1.26,,Active,,,,,,,,,,,,,,,,,
03037,AURORA,701,,,0.22,,-,-,,,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
03059,AUTORIS,710,,,0.495,,-,-,0.5,0.495,0,,-,-,0%,,,,Active,,,,,,,,,,,,,,,,,
5182,AVALAND,120,0.245,0.25,0.24,+0.010,0.25,0.245,0.34,0.2,1881,,47,268765,33%,-0.002,6.79,3.68,Active,,,,,,,,,,,,,,,,,
5259,AVANGAAD,164,0.315,0.32,0.32,-,0.325,0.315,0.365,0.26,168918,,99,7644695,33%,0.001,16.45,2.75,Active,,,,,,,,,,,,,,,,,
8885,AVI,101,0.06,0.06,0.065,-0.005,0.065,0.06,0.085,0.03,1449,,36,1171910,40%,-0.001,-0.59,,Active,,,,,,,,,,,,,,,,,
5204,AWANTEC,105,0.32,0.32,0.32,-,0.32,0.315,0.375,0.265,1007,,68,236515,33%,-0.001,-3.93,,Active,,,,,,,,,,,,,,,,,
5204WA,AWANTEC-WA,105,,,0.005,,-,-,0.13,0.005,0,,-,949870,33%,-0.001,,,"Suspended, Forbid",,,,,,,,,,,,,,,,,
7579,AWC,102,0.7,0.705,0.705,-,0.715,0.7,1.14,0.5,4324,1.77%,75,1468085,54%,0.021,7.6,9.75,Active,,,,,,,,,,,,,,,,,
6888,AXIATA,163,2.62,2.7,2.6,+0.100,2.71,2.62,2.77,1.63,115003,3.70%,51,4413970,37%,-0.013,10.3,15.51,Active,,,,,,,,,,,,,,,,,
