"Code","Stock","Sector","Open","Last","Prv Close","Chg","High","Low","Y-High","Y-Low","Vol","DY*","B%","Vol MA (20)","RSI (14)","MACD (26, 12)","EPS*","P/E","Status"
="030501","SUNMOW-PA","703","0.000","","0.425","","-","-","","","0","","-","-","","","","","Active"
="030502","SUNMOW-WA","703","0.000","","0.765","","-","-","","","0","","-","-","","","","","Active"
="5176","SUNREIT","150","2.210","2.260","2.210","","2.260","2.180","","","88515","","-","-","","","15.02","","Active"
="3743","SUNSURIA","120","0.415","0.415","0.420","","0.415","0.410","","","605","","-","-","","","2.78","","Active"
="0262","SUNVIEW","461","0.380","0.390","0.380","","0.390","0.380","","","25302","","-","-","","","1.17","","Active"
="5211","SUNWAY","102","5.810","5.850","5.810","","5.930","5.810","","","190835","","-","-","","","16.74","","Active"
="521140","SUNWAY-C40","302","0.270","0.270","0.255","","0.270","0.270","","","100","","-","-","","","","","Active"
="521141","SUNWAY-C41","302","0.160","0.160","0.150","","0.160","0.160","","","8000","","-","-","","","","","Active"
="521142","SUNWAY-C42","302","0.000","","0.230","","-","-","","","0","","-","-","","","","","Active"
="521143","SUNWAY-C43","302","0.210","0.210","0.200","","0.215","0.210","","","20828","","-","-","","","","","Active"
="521144","SUNWAY-C44","302","0.165","0.165","0.155","","0.170","0.165","","","1561","","-","-","","","","","Active"
="521145","SUNWAY-C45","302","0.360","0.360","0.350","","0.385","0.360","","","4123","","-","-","","","","","Active"
="521146","SUNWAY-C46","302","0.000","","0.165","","-","-","","","0","","-","-","","","","","Active"
="521147","SUNWAY-C47","302","0.000","","0.190","","-","-","","","0","","-","-","","","","","Active"
="521148","SUNWAY-C48","302","0.175","0.170","0.160","","0.190","0.170","","","3104","","-","-","","","","","Active"
="521149","SUNWAY-C49","302","0.090","0.085","0.085","","0.090","0.085","","","13018","","-","-","","","","","Active"
="521150","SUNWAY-C50","302","0.000","","0.090","","-","-","","","0","","-","-","","","","","Active"
="521151","SUNWAY-C51","302","0.140","0.140","0.130","","0.140","0.140","","","4200","","-","-","","","","","Active"
="5211PA","SUNWAY-PA","102","5.740","5.780","5.730","","5.820","5.740","","","724","","-","-","","","","","Active"
="0148","SUNZEN","401","0.000","","0.265","","-","-","","","0","","-","-","","","0.37","","Active"
="0148WC","SUNZEN-WC","401","0.065","0.065","0.065","","0.065","0.065","","","347","","-","-","","","","","Active"
="7235","SUPERLN","102","0.730","0.745","0.740","","0.745","0.720","","","772","","-","-","","","7.81","","Active"
="7106","SUPERMX","162","0.455","0.505","0.455","","0.515","0.450","","","354732","","-","-","","","-5.20","","Active"
="71064O","SUPERMX-C4O","362","0.000","","0.005","","-","-","","","0","","-","-","","","","","Active"
