Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26, 12)",EPS*,P/E,Status,
0118WD,TRIVE-WD,TRIVE-WD,0.005,0.005,0.005,-,0.005,0.005,0.02,0.005,15,,100,594220,50%,,,,Active,
,TRIVE-WD,TRIVE-WD,,,,,,,,,,,,,,,,,,
0104CH,GENETEC-CH,GENETEC-CH,,,0.005,,-,-,0.065,0.005,0,,-,208365,33%,-0.009,,,Active,
,GENETEC-CH,GENETEC-CH,,,,,,,,,,,,,,,,,,
0104CL,GENETEC-CL,GENETEC-CL,,,0.01,,-,-,0.08,0.005,0,,-,203535,15%,-0.02,,,Active,
,GENETEC-CL,GENETEC-CL,,,,,,,,,,,,,,,,,,
0103WC,MNC-WC,MNC-WC,,,0.005,,-,-,0.07,0.005,0,,-,3203790,46%,-0.002,,,Active,
,MNC-WC,MNC-WC,,,,,,,,,,,,,,,,,,
0145WB,TFP-WB,TFP-WB,,,0.005,,-,-,0.025,0.005,0,,-,261795,50%,-0.002,,,"Suspended, Forbid",
,TFP-WB,TFP-WB,,,,,,,,,,,,,,,,,,
154,EAH,EAH,0.005,0.005,0.005,-,0.005,0.005,0.01,0.005,6000,,100,599825,100%,,-0.29,,Active,
,EAH,EAH,,,,,,,,,,,,,,,,,,
01663E,INARI-C3E,INARI-C3E,,,0.005,,-,-,0.065,0.005,0,,-,204920,43%,-0.002,,,Active,
,INARI-C3E,INARI-C3E,,,,,,,,,,,,,,,,,,
01663G,INARI-C3G,INARI-C3G,,,0.005,,-,-,0.12,0.005,0,,-,766395,29%,-0.011,,,Active,
,INARI-C3G,INARI-C3G,,,,,,,,,,,,,,,,,,
159,MMM,MMM,,,0.015,,-,-,0.12,0.005,0,,-,1031620,27%,-0.015,-0.2,,"Suspended, Alert, Forbid",
,MMM,MMM,,,,,,,,,,,,,,,,,,
0153WB,OVERSEA-WB,OVERSEA-WB,,,0.01,,-,-,0.035,0.005,0,,-,310545,40%,-0.004,,,Active,
,OVERSEA-WB,OVERSEA-WB,,,,,,,,,,,,,,,,,,
0146WA,JFTECH-WA,JFTECH-WA,0.005,0.005,0.005,-,0.005,0.005,0.19,0.005,400,,100,394075,100%,-0.001,,,Active,
,JFTECH-WA,JFTECH-WA,,,,,,,,,,,,,,,,,,
187,BCMALL,BCMALL,0.005,0.01,0.01,-,0.01,0.005,0.015,0.005,33752,,-,6345010,50%,,-0.44,,Active,
,BCMALL,BCMALL,,,,,,,,,,,,,,,,,,
0195WA,BINACOM-WA,BINACOM-WA,,,0.005,,-,-,0.055,0.005,0,,-,558025,100%,-0.001,,,Active,
,BINACOM-WA,BINACOM-WA,,,,,,,,,,,,,,,,,,
179,BIOHLDG,BIOHLDG,0.015,0.015,0.015,-,0.015,0.01,0.08,0.005,232,,95,110225,50%,,-3.55,,Active,
,BIOHLDG,BIOHLDG,,,,,,,,,,,,,,,,,,
0179PA,BIOHLDG-PA,BIOHLDG-PA,,,0.005,,-,-,0.01,0.005,0,,-,110845,100%,,,,Active,
,BIOHLDG-PA,BIOHLDG-PA,,,,,,,,,,,,,,,,,,
