Code,Stock,Sector,Open,Last,Prv Close,Chg,High,Low,Y-High,Y-Low,Vol,DY*,B%,Vol MA (20),RSI (14),"MACD (26,12)",EPS*,P/E,Status
"=""0652NZ""",HSI-PWNZ,Technology,,,0.070,,-,-,0.34,0.05,0,,-,-,0%,,,,Active
"=""0652PB""",HSI-PWPB,Technology,,,0.050,,-,-,0.05,0.05,0,,-,-,0%,,,,Active
"=""0652PC""",HSI-PWPC,Technology,,,0.085,,-,-,0.145,0.08,0,,-,-,0%,,,,Active
"=""0652PD""",HSI-PWPD,Technology,,,0.100,,-,-,0.315,0.085,0,,-,-,0%,,,,Active
"=""0652PE""",HSI-PWPE,Technology,0.205,0.205,0.195,+0.010,0.205,0.205,0.535,0.18,350,,-,717005,35%,-0.054,,,Active
"=""0652PF""",HSI-PWPF,Technology,,,0.095,,-,-,0.135,0.09,0,,-,-,0%,,,,Active
"=""0652PG""",HSI-PWPG,Technology,,,0.130,,-,-,0.36,0.115,0,,-,1632495,43%,-0.026,,,Active
"=""0652PH""",HSI-PWPH,Technology,0.195,0.215,0.195,+0.020,0.215,0.195,0.675,0.17,45999,,70,3888555,32%,-0.062,,,Active
"=""0652PI""",HSI-PWPI,Technology,0.5,0.54,0.505,+0.035,0.540,0.500,1.2,0.4,4110,,53,485315,36%,-0.106,,,Active
"=""0652PJ""",HSI-PWPJ,Technology,0.235,0.25,0.235,+0.015,0.250,0.235,0.395,0.23,14578,,49,-,0%,,,,Active
"=""0652PK""",HSI-PWPK,Technology,0.09,0.095,0.130,-0.035,0.095,0.090,0.135,0.095,13600,,45,-,0%,,,,Active
"=""0652PL""",HSI-PWPL,Technology,,,0.035,,-,-,0.04,0.03,0,,-,-,0%,,,,Active
"=""0652PM""",HSI-PWPM,Technology,,,0.175,,-,-,0.215,0.155,0,,-,-,0%,,,,Active
"=""0652PN""",HSI-PWPN,Technology,,,0.265,,-,-,0.335,0.26,0,,-,-,0%,,,,Active
