Code,Stock,Prv Close,High,Low,Last,Vol,Status,P/E,EPS*,"MACD (26, 12)",Vol MA (20),DY*,Y-Low,Y-High,RSI (14),Open,Sector,Chg,B%,code_clean,name_clean,price_num,volume_num,instrument_type,sector_raw,sector_name,daily_change
"=""5335""",HI,2.280,2.300,2.250,2.3,13374,Active,26.28,8.75,-0.098,959370,0.97%,1.2,2.88,21%,2.26,101,+0.020,91,5335,HI,2.3,959370.0,Stock,101,Industrial & Consumer Products,0.0
"=""5335CA""",HI-CA,0.135,0.145,0.140,0.14,628,Active,,,-0.033,387465,,0.07,0.35,11%,0.145,301,+0.005,52,5335CA,HI-CA,0.14,387465.0,Warrant,301,Technology,0.0
"=""5335CE""",HI-CE,0.040,0.040,0.040,0.04,1430,Active,,,-0.017,100965,,0.035,0.135,6%,0.04,301,-,6,5335CE,HI-CE,0.04,100965.0,Warrant,301,Technology,0.0
"=""5072""",HIAPTEK,0.280,0.280,0.270,0.27,7357,Active,4.28,6.26,,2350480,1.85%,0.245,0.325,60%,0.28,102,-0.010,38,5072,HIAPTEK,0.27,2350480.0,Stock,102,Industrial & Consumer Products,0.0
"=""5199""",HIBISCS,1.540,1.530,1.480,1.51,10118,Active,9.48,15.39,-0.003,2774265,5.63%,1.36,1.93,59%,1.51,161,-0.030,46,5199,HIBISCS,1.51,2774265.0,Stock,161,Industrial & Consumer Products,0.0
"=""519986""",HIBISCS-C86,0.035,0.030,0.030,0.03,50,Active,,,,-,,0.03,0.06,0%,0.03,361,-0.005,100,519986,HIBISCS-C86,0.03,,Warrant,361,Technology,0.0
"=""519987""",HIBISCS-C87,0.070,0.060,0.060,0.06,450,Active,,,-0.006,360275,,0.04,0.13,57%,0.06,361,-0.010,-,519987,HIBISCS-C87,0.06,360275.0,Warrant,361,Technology,0.0
"=""519989""",HIBISCS-C89,0.055,0.055,0.055,0.055,6000,Active,,,,-,,0.045,0.06,0%,0.055,361,-,100,519989,HIBISCS-C89,0.055,,Warrant,361,Technology,0.0
"=""519990""",HIBISCS-C90,-,0.070,0.070,0.07,40,New,,,,-,,,,0%,0.07,361,-0.080,50,519990,HIBISCS-C90,0.07,,Warrant,361,Technology,0.0
"=""0359""",HKB,0.195,0.200,0.195,0.2,2960,Active,57.78,0.35,0.008,2992205,,0.14,0.21,67%,0.195,403,+0.005,5,0359,HKB,0.2,2992205.0,Stock,403,Property,0.0
"=""5819""",HLBANK,24.700,24.640,24.100,24.12,11259,Active,12.23,208.46,0.521,2352735,3.98%,18.42,25.8,55%,24.6,110,-0.580,33,5819,HLBANK,24.12,2352735.0,Stock,110,Industrial & Consumer Products,0.0
"=""5819C7""",HLBANK-C7,0.270,0.255,0.255,0.255,560,Active,,,0.024,181570,,0.13,0.325,56%,0.255,310,-0.015,50,5819C7,HLBANK-C7,0.255,181570.0,Warrant,310,Technology,0.0
"=""5274""",HLCAP,3.500,3.520,3.500,3.5,371,Active,14.79,24.78,0.029,50145,5.43%,3.1,4.0,42%,3.5,110,-,33,5274,HLCAP,3.5,50145.0,Stock,110,Industrial & Consumer Products,0.0
